단어,명사,관형사 (-é),동사 (-À),부사 (-ùi),"조사, 연결","접사, 어미",비고,어원
sotal,3월,,,,,,,
spac,정적,조용한,조용히 하다,,,,,
spika,"언어, 언어학",,"구사하다, 언어를 통해 의미를 표현하다",,,,,
spikalindú,어순,,,,,,,
spo,,,,,-부터,,,
spred,,현명한,,,,,,
stara,이야기; 소통,,"이야기하다, 소통하다, 떠들다",,,,,
stelie,행복,행복한; 행복하는,,,,,,
stos,,"단단한, 굳은",,,,,,
stoshocen,,굳센,,,,,,
suadürzia,"의외, 뜻밖","의외의, 뜻밖의",,,,,,
suan,,밖에 없는,,오직,"뿐, -만",,,
suces,노랑,노란,,,,,,
sulah,,큰,,,,,,
sulamarav,"태풍, 폭풍, 돌풍","태풍치는, 폭풍치는, 돌풍이 부는","태풍치다, 폭풍치다, 돌풍이 불다",,,,,
sulasat,거시세계(물리학),,,,,,,
sulaskie,크기,,,,,,,
sulavator,호수,,,,,,,
sülien,3차원,,,,,,,"자소크어, so·hülien"
sülieskie,공간,,,,,,,
sum,숨,"숨쉬는, 호흡하는","숨을 쉬다, 호흡하다",,,,,
sumer,여름,,,,,,,
suquer,춤,춤을 추는,"추다(舞), 춤을 추다",,,,,
sushie,스시,,,,,,,
süt,상자,,,,,,,
suüie,,창백한,,,,,,
svo,,,,,-에서,,,
svofas,,,,,-에서는,,,
svosuan,,,,,"-에서만, -서만",,,
tacamis,논문; 연구 보고서,,,,,,,"자소크어, tag·camis"
tadia,지도,,,,,,,"자소크어, tas·dia"
tag,"이성, 생각",생각하는,생각하다,,,,,
taic,,높은,,,,,,
taicashaque,,따뜻한,,,,,,
taicinoc,영광,,,,,,,
taigolú,왕관,,,,,,,"자소크어, taic·quorsin·golú"
taigrum,높이,,,,,,,
tailekromad,왁싱,제모하는,제모하다,,,,,
tailes,"털, 체모",,,,,,,
tailofafashas,고등학교,,,,,,,
tailofafashasin,고등학생,,,,,,,
taimúhivin,조보호자; 조부모님,,,,,,,
tainatio,"제국, 왕국",,,,,,,
taiquorsigolúälinùlipún,코로나바이러스(CoV-h),,,,,,,
taiquorsin,"대장, 수장, 최고통치자, 장관, 대표(직책)",,,,,,,
tal,"달, 월, 개월(단위)",,,,,,,"한국어, 달"
talärge,윤년(閏年),,,,,,,"자소크어, tal·ärge"
talid,정리,,정리하다,,,,,선험
talimatikapota,정수(整數),,,,,,,"자소크어, talid·matikapota"
talimatikapotosha,정수환(수학),,,,,,,"자소크어, talid·matikapotosha"
taliumú,탈륨,,,,,,,"영어, thallium"
talleka,윤초(閏秒),,,,,,,"자소크어, tal·leka"
tammatàs,세뇌,세뇌하는,세뇌하다,,,,,"자소크어, tag·matàs"
tao,어른,어른스러운,,,,,,"인명, 타타오"
taque,옷,,,,,,,선험
taquiä,양기(陽氣),,,,,,,"자소크어, tar·quiä"
tar,"양(陽, yang)",,,,,,,선험
tarir,,충분한,,,,,,"일본어, 足りる"
tas,"땅, 섬, (특히) 공중섬",,,,,,,"자소크어, sat"
taso,고양이,,,,,,,"인명, たそ(date)"
taunlod,다운로드,내려받는,내려받다,,,,,"영어, download"
taup,설명,"설명을 잘 하는; 명확한, 확실한",잘 설명하다,,,,,"영어, description"
taupyúrgo,관사(article),,,,,,,"자소크어, taup·yúrgo"
tavizash,,생각해 보는,생각해 보다,,,,,"자소크어, tag·vizash"
tavla,,"대략, 약(전치수식)",,,,,,선험
tavlo,팔(腕),,,,,,,선험
tavlotailes,"겨털, 겨드랑이 털; 팔에 난 털",,,,,,,
te,"9, 아홉, 구",,,,,,,선험
temmoque,,나아가는,나아가다,,,,,"자소크어, temp·moque"
temp,,나는(出),나다(出),,,,,선험
tempàs,,내는(出),내다(出),,,,,"자소크어, temp·-às"
ter,,"밝히는, 비추는","밝히다, 비추다",,,,,"일본어, 照らす"
tero,테로 (돈의 단위),,,,,,,"단체명, Shtelo"
tetal,9월,,,,,,,"자소크어, te·tal"
tetutayúr,만(灣),,,,,,,"자소크어, temp·tutayúr"
thalis,고래,,,,,,,선험
tho,,,,,-까지,,,선험
tia,,,,,"그런데, 하지만, 그래도; -번째",,,선험
tiäfashas,"출처, 원산지",,,,,,,"자소크어, tiäg·fashas"
tiäg,시작,시작하는,시작하다,,,,,"한국어, 시작"
tiänamyúrgorisque,시발격,,,,,,자소크어 명사의 격,"자소크어, tiäg·namyúrgorisque"
tiasut,천재,,,,,,,
tied,,선명한,,,,,,
tier,,붙는,붙다,,,,,
tieràs,부착,붙이는,붙이다,,,,,
tiespika,교착어,,,,,,,"자소크어, tier·spika"
tika,"셈; 산수, 산학",세는,세다(數),,,,,선험
tion,가리킴; 함수(수학),가리키는,"가리키다, 맞추다, 대응하다, 매핑(mapping)하다",,,,,"영어, function"
tiskie,부호,,,,,,,선험
tiv,,"까는, 기반으로 하는; 짚는; 의지하는","깔다, 기반으로 하다; 짚다; 의지하다",,,,,선험
tod,죽음,죽는,죽다,,,,,"독일어, Tod"
todàs,,"죽이는, 살인하는","죽이다, 살인하다",,,,,"자소크어, tod·-às"
todia,그림자,,,,,,,"자소크어, tod·dia"
todùh,위험,죽을 수 있는; 위험한,죽을 수 있다,,,,,"자소크어, tod·-ùh"
todùvidie,,죽여버리는,죽여버리다,,,,,"자소크어, todùque·vidie"
toflukt,"유령, 귀신",,,,,,,"자소크어, tod·flukt"
toi,,걷는,걷다,,,,,"영어, toil"
tom,,"자르는, 끊는","자르다, 끊다",,,,,
tommarsh,사인,,,,,,,"자소크어, tod·marsh"
tonxnah,,끊임없는,,끊임없이,,,,"자소크어, tom·nah"
tou,,,,,"-이라고, -라고",,,"일본어, って"
touat,,"~라고 부르는, ~라고 하는","~라고 부르다, ~라고 하다",,,,,"자소크어, tou·uat"
toudionamyúrgorisque,인용격,,,,,,자소크어 명사의 격,"자소크어, toudios·namyúrgorisque"
toudios,인용,인용하는,인용하다,,,,,"자소크어, tou·dios"
toufas,,,,,"-이라고 하는 것은, -이란",,,"자소크어, tou·fas(=as)"
tous,,,,,-라는 것은,,,"자소크어, tou·as"
tranür,번역,번역하는,번역하다,,,,,"영어, translate"
tranürin,번역기,,,,,,,"자소크어, tranür·-in"
trend,"예정, 일정, 계획",,,,,,,"영어, trend"
tumas,가을,,,,,,,선험
túnet,낙하산,,낙하산을 타다,,,,,"영어, internet"
tupan,빼기,빼는,빼다,,,,,선험
tupanxnam,"약칭, 약자",,,,,,,"자소크어, tupan·nam"
turad,,먼(遠),,"간접, 간접적으로",,,,"자소크어, darut"
turanarisàs,"광고, 홍보",,,,,,,"자소크어, turad·narisàs"
tusait,바보,,,,,,,선험
tutayúr,"땅, 흙",,,,,,,선험
tutayúrika,기하학,,,,,,,"자소크어, tutayúr·ika"
tutayúrosha,지구,,,,,,,"자소크어, tutayúr·osha"
u,,,,,-에,,,"한국어, 에"
uacil,가치,,,,,,,선험
uacinta,발음,,,,,,,"자소크어, uat·sinta"
uagispika,굴절어,,,,,,,"자소크어, uagiz·spika"
uagiz,변화,바뀌는,바뀌다,,,,,선험
uagizàs,변경,바꾸는,바꾸다,,,,,"자소크어, uagiz·-às"
uat,"말, 대화",말하는,말하다,,,,,선험
uatacentem,"주제, 화제",,,,,,,"자소크어, uat·acentem"
uatamäf,북극,,,,,,,"자소크어, uatash·mäf"
uatamäninema,북극야선,,,,,,,"자소크어, uatash·mänit·nema"
uatamurashitnatani,북회귀선,,,,,,,"자소크어, uatash·muraf·shitnatanie"
uatash,"북, 북쪽",북쪽의,,,,,,"일본어, 私"
úce,업보,업보가 쌓인 상태에 있는,,,,,,"에탕, Étten"
úf,꿀,,,,,,,"프랑스어, œuf"
ügra,위(上),,,,,,,선험
ügranema,"온라인, 인터넷",,,,,,,"자소크어, ügra·nema"
ül,,"외우는, 외는",외우다,,,,,선험
um,,입는,입다(着),,,,,선험
ümer,점프,뛰는,"뛰다, 점프하다",,,,,선험
umimoque,,달려가는,달려가다,,,,,"자소크어, umiv·moque"
umiv,,달리는,달리다(走),,,,,선험
umsha,자유,자유로운,,,,,,선험
úmuilat,모기,,,,,,,선험
ünäla,장인,,,,,,,선험
unas,필요,필요로 하는,필요로 하다,,,,,선험
únesh,간절함,간절한,,,,,,선험
unët,단위,,,,,,,선험
üpa,감사,감사하는,감사해하다,,,,,선험
úrima,"과도한 진행, 뇌절",뇌절인,뇌절하다,,,,,선험
ürpammaque,"화음, 코러스",,,,,,,"자소크어, ürpat·maque"
ürpanxnamyúrgorisque,보조격,,,,,,자소크어 명사의 격,"자소크어, ürpat·namyúrgorisque"
ürpat,,"돕는, 지원하는","돕다, 지원하다",,,,,선험
ürpavist,,도와주는,도와주다,,,,,"자소크어, ürpat·vist"
usida,곰(熊),,,,,,,선험
usnot,설탕,,,,,,,선험
uspelofan,시험공부,시험공부하는,시험공부하다,,,,,"자소크어, uspens·lofan"
uspens,"시험, 테스트","시험을 보는, 테스트하는","시험보다, 테스트하다",,,,,선험
uspensùquin,응시자,,,,,,,"자소크어, uspens·-ùque·-in"
util,,깊은,,,,,,선험
utilìe,깊이,,,,,,,"자소크어, util·ìe"
utra,아픔,아픈,아파하다,,,,,"러시아어, утро"
uzaque,,외로운,,,,,,선험
vaf,"1^24, 자",,,,,,,선험
väf,항아사,,,,,,,선험
vag,,가지는,가지다,,,,,"영어, have"
vaisausentrah,"능력, 힘",능력있는,,,,,,선험
vakom,발췌,가져오는; 발췌한,가져오다; 발췌하다,,,,,"자소크어, vag·kom"
vanamyúrgorisque,주격,,,,,,자소크어 명사의 격,"자소크어, vag·namyúrgorisque"
vanana,바나나,,,,,,,"영어, banana"
vanas,방향,,,,,,,선험
vanisha,,,,,,,"[인사] 안녕히 가세요, 안녕히 계세요, 잘 가","영어, vanish"
vanzi,승리,이기는(勝),이기다,,,,,선험
vapú,사전,,,,,,,선험
vaque,건강,"건강한, 바람직한",,,,,,선험
vatomoquàs,,흘리는,흘리다,,,,,"자소크어, vatomoque·-às"
vatomoque,(액체의)움직임,흐르는,흐르다,,,,,"자소크어, vator·moque"
vator,물,,,,,,,"독일어, Wasser"
vatoralivaie,"물고기, 생선",,,,,,,"자소크어, vator·alivaie"
vatotod,익사,익사한,익사하다,,,,,"자소크어, vator·tod"
vematikapota,자연수(수학),,,,,,,"자소크어, vesh·matikapota"
venim,"자기가치, 사회적 가치, 필요도",,,,,,"특히 사람에 대해서, 다른 사람이 자기 자신을 필요로 하는 정도를 나타냄.",선험
venitofluktin,자기가치를 위해 죽을 수도 있는 사람,,,,,,,"자소크어, venim·tod·flukt·-in"
ves,성질,,,,,,,선험
vesh,자연,"되는, ~을 하는, 지는; 자연스러운","되다, ~을 하다, 지다(爲), ~하게 되다",,,,,선험
veshin,성인,,,,,,,"자소크어, vesh·-in"
veshpika,자연어,,,,,,,"자소크어, vesh·spika"
vesin,사과,,,,,,,선험
vesinoshavrisiad,사과파이,,,,,,,
veto,변태,,,,,,,선험
vidie,,버리는(仕舞),버리다(仕舞),,,,,선험
vinús,"정수, 찐또백이",,,,,,,"영어, venus"
virogas,,오르는,오르다,,,,,선험
vish,"서,서쪽",서쪽의,,,,,,선험
vishtan,"탁자, 책상",,,,,,,선험
viskria,위협,,,,,,,선험
visnamyúrgorisque,여격,,,,,,자소크어 명사의 격,"자소크어, vist·namyúrgorisque"
vist,,주는,주다,,,,,선험
vistàs,,,얻다,,,,,"자소크어, vist·-às"
vistumodilàs,,,받아들이다,,,,,"자소크어, vistùque·modilàs"
vistùque,,받는,받다,,,,,"자소크어, vist·-ùque"
vistürpatnamyúrgorisque,여보조격,,,,,,자소크어 명사의 격,"자소크어, vist·ürpat·namyúrgorisque"
vitra,포도,,,,,,,"펠라인카이아, vítra"
vitrudiska,"짜증, 싫증","짜증나는, 싫증나는, 질린",질리다,,,,,선험
vivias,벌(蜂),,,,,,,선험
viviashtelo,벌떼,,,,,,,"자소크어, vivias·shtelo"
vizash,,보는,보다(見),,,,,"에스페란토, vidi"
vizashàs,"프레젠테이션, 발표, 내세움",,,,,,,
vizashùquas,"렌더링, 인코딩, 인화",보이게 하는,보이게 하다,,,,,
vizashùquasin,"렌더러, 인코더",,,,,,,
vizashùque,,보이는,보이다(見),,,,,
vizud,"흥미, 관심",,,,,,,
vlanque,설정,,설정하다,,,,,
vlazicamis,문제지,,,,,,,
vlazif,문제 상황,,,,,,,
vlosa,목소리,,,,,,,
vorshi,"칼, 검",,,,,,,
vosha,배경,,,,,,,
vot,"기계, 로봇, 봇",,,,,,,
vrisiad,,"도는, 회전하는","돌다, 회전하다",,,,,선험
vrisiadìe,경도(longitude),,,,,,,"자소크어, vrisiad·ìe"
vrisianema,경도선,,,,,,,"자소크어, vrisiad·nema"
vruma,방(房),,,,,,,
vudalindashalin,고속열차,,,,,,,"자소크어, vudar·lindú·hashalin"
vudar,,빠른,,빠르게,,,,
vudarìe,"빠르기, 속력",,,,,,,
vudaruagiz,가속도,가속하는,가속하다,,,,,"자소크어, vudar·uagiz"
vuere,오른쪽,,,,,,,
vueresailit,"오른쪽 클릭, 우클릭",,우클릭하다,,,,,
vút,,-에 대한,,,"-에 대해, -에 있어",,,
x,절의(切意)문자,,,,,,,
y,"1, 하나, 첫","하나의, 한; 일번",가장,,,,,
y,,,,,[문어] 고유명사 앞에 붙는 관사,,,
y ‘Bruxelles’[vgushell],브뤼셀 (프랑스의 도시),,,,,,,
y ‘Toki Pona’[toki-pona],"토키 포나, 도기 보나",,,,,,,
y ‘United States of America’[ünaiticteicovamērika],"미합중국, 미국",,,,,,,
y Berquam[verquam],베르쿠암,,,,,,,"베르쿠암, Berquam"
y Britain[vritin],영국,,,,,,,
y Britainéspika,"영어, 영국어",,,,,,,
y Britainéuatsinta,영국 영어 발음,,,,,,,
y Chrisancthes[krisanntes],크리상테스,,,,,,Liszt,
y Christmas[krismas],크리스마스,,,,,,,
y cosún,북한,,,,,,,
y Deutsch[doic],독일,,,,,,,
y Felin[felain],펠라인,,,,,,Compass Cat,
y France[fhonnse],프랑스,,,,,,,
y Google[gugl],구글 (https://www.google.com/),,,,,,,
y Halloween[halouin],할로윈,,,,,,,
y Lëtzebuerg[lecevuesh],룩셈부르크,,,,,,,
y Lyskad[liskad],"듀오블록 게임, 공수교대 게임 (슈텔로 민속놀이)",,,,,,,
y Minecraft[mainkraft],마인크래프트,,,,,,,
y Naver[neivú],네이버 (https://www.naver.com/),,,,,,,
y nihonn,일본,,,,,,,
y nihonnéspika,일본어,,,,,,,
y russiä,러시아,,,,,,,
y Sch[sci],스치,,,,,,,
y Shtelo,슈텔로,,,,,,,
y sovëtékaropnatio,소비에트 연방,,,,,,,
y sovëtski,소비에트,,,,,,,
y türque,"터키, 튀르크",,,,,,,
y Twitter[tuitú],트위터 (https://twitter.com),,,,,,,
y Vocaloid[vokaloid],보컬로이드,,,,,,,
y VRChat[viācat],VRChat,,VRChat을 하다,,,,,
y YouTube[ütüv],유튜브 (https://www.youtube.com/),,,,,,,
y Zemin,재민(자소크어 문자),,,,,,,
y Zhongguo[zonngō],중국,,,,,,,
y Zhongguoéspika,중국어,,,,,,,
y',,,,,=y,,,
y'Africa[afrika],아프리카,,,,,,,
y'Americ'éuasinta,미국 영어 발음,,,,,,,
y'America[amērika],미국,,,,,,,
y'Android,안드로이드,,,,,,,
y'Arduino,아두이노,,,,,,,
y'Asia,아시아,,,,,,,
y'elada,그리스,,,,,,,
y'España[espanä],스페인,,,,,,,
y'Esperanto,"에스페란토, 에스페란토어",,,,,,,
y'Europa,유럽,,,,,,,
y'hanguque,한국,,,,,,,
y'hanguquéspika,"한국어, 한국말",,,,,,,
ynam,"이름 (성, 씨를 포함하지 않음)",,,,,,,
yquorsin,"혼자, 외톨이","혼자 있는, 외톨이인",,,,,,
ysonam,"일씨(一氏), 부모님 가족의 이름",,,,,,,
ytal,1월,,,,,,,
yülien,일차원,,,,,,,
yülienski,직선,,,,,,,
yúrgo,단어,,,,,,,
yúsanpa,예시,,예를 들다,,,,,
yvesh,독립,"독립적인, 독자적인; 독립하는",독립하다,,,,,
yzozaque,"순간, 찰나",,,,,,,
zäiv,자이브,,자이브를 추다,,,,특히 1950년대에 유행한 강한 비트의 빠른 춤곡,
zam,,자는,자다,,,,,"한국어, 잠"
zamùd,,졸린,졸려하다,,,,,
zap,,잡는,잡다(掴),,,,,"한국어, 잡다"
zapùque,,잡히는,잡히다,,,,,"자소크어, zap·ùque"
zapùquin,포로,,,,,,,"자소크어, zapùque·quo"
zasoquaravîta,자소크어 문자,,,,,,,"자소크어, zasoque·aravîta"
zasoque,자소크,,,,,,,
zasospika,자소크어,,,,,,,
zefes,,"화난, 분노하는","화나다, 분노하다",,,,,
zeh,,,,"절대, 반드시, 꼭, 분명; 마치",,,,
zenuks,연속,"연속적인, 붙어있는",,,,,,
zesta,"력(曆), 달력",,,,,,,
zeuique,조절,조절하는,조절하다,,,,,"브랜드, jwiki"
zidamoque,,사라져가는,사라져가다,,,,,
zidas,,사라지는,사라지다,,,,,
zigän,,상대적인,,,,,,
zigänski,상대성,,,,,,,
zip,,,"마주하다, 맏닥들이다",,,,,
ziroque,친구,,,,,,,
zôd,시간 (시간의 단위); 시 (시각의 단위),,,,,,,
zozaque,"시간(시각), 때; 경우; [의존] 회(回), 번(番)",,,,,,,선험
zu,,,,,"-하면, -으면",,,
zudia,"영상, 동화(動画), 애니메이션",,,,,,,
zudiakrif,"영상 제작, 영상 편집",영상 제작하는,영상 제작하다,,,,,
zudiakrifin,"영상 제작자, 영상러",,,,,,,
zünúr,"점(dot); 공(ball), 구(sphere); 행성",,,,,,,
zünúraravîta,점자,,,,,,,
zur,"행동, 동작, 움직임; 기능",움직이는,"움직하다, 행동하다, 작동하다",,,,,
zuryúrgo,동사,,,,,,,
